"anemone","Actinia tenebrosa"
"red panda","Ailurus fulgens"
"raccoon","Procyon lotor"
"mink","Mustela lutreola"
"hyena","Crocuta crocuta"
"cat","Felis catus"
"lion","Panthera leo"
"jaguar","Panthera onca"
"leopard","Panthera pardus"
"tiger","Panthera tigris"
"puma","Puma concolor"
"mongoose","Herpestes ichneumon"
"sea lion","Zalophus californianus"
"walrus","Odobenus rosmarus"
"seal","Halichoerus grypus"
"orca","Orcinus orca"
"dolphin","Tursiops truncatus"
"beluga whale","Delphinapterus leucas"
"sperm whale","Physeter catodon"
"humpback whale","Megaptera novaeangliae"
"manatee","Trichechus manatus"
"elephant","Loxodonta africana"
"donkey","Equus asinus"
"horse","Equus caballus"
"rhinoceros","Ceratotherium simum"
"aardvark","Orycteropus afer"
"pig","Sus scrofa"
"hippopotamus","Hippopotamus amphibius"
"camel","Camelus dromedarius"
"llama","Lama glama"
"moose","Alces alces"
"caribou","Rangifer tarandus"
"deer","Odocoileus virginianus"
"giraffe","Giraffa camelopardalis"
"bison","Bison bison"
"cattle","Bos taurus"
"goat","Capra hircus"
"wildebeest","Connochaetes taurinus"
"sheep","Ovis aries"
"pangolin","Manis javanica"
"rabbit","Oryctolagus cuniculus"
"groundhog","Marmota monax"
"hamster","Mesocricetus auratus"
"gerbil","Meriones unguiculatus"
"mouse","Mus musculus"
"rat","Rattus norvegicus"
"porcupine","Hystrix africaeaustralis"
"guinea pig","Cavia porcellus"
"capybara","Hydrochoerus hydrochaeris"
"cockatoo","Cacatua goffiniana"
"monarch butterfly","Danaus plexippus"
"earwig","Forficula auricularia"
"lynx","Lynx lynx"
"cockatiel","Nymphicus hollandicus"
"pillbug","Armadillidium vulgare"
"great white shark","Carcharodon carcharias"
"fire ant","Solenopsis invicta"
"two-toed sloth","Choloepus didactylus"
"bass","Micropterus salmoides"
"sea turtle","Dermochelys coriacea"
"puffin","Fratercula arctica"
"blue jay","Cyanocitta cristata"
"centipede","Scutigera coleoptrata"
"polar bear","Ursus maritimus"
"wombat","Vombatus ursinus"
"oyster","Crassostrea gigas"
"wasp","Vespula pensylvanica"
"yak","Bos grunniens"
"alpaca","Vicugna pacos"
"skunk","Mephitis mephitis"
"badger","Taxidea taxus"
"squirrel","Sciurus carolinensis"
"cheetah","Acinonyx jubatus"
"ocelot","Leopardus pardalis"
"black vulture","Coragyps atratus"
"bigfin squid","Sepioteuthis lessoniana"
"nautilus","Nautilus belauensis"
"sea otter","Enhydra lutris"
"magpie","Pica pica"
"seagull","Larus argentatus"
"salamander","Hynobius retardatus"
"termite","Coptotermes formosanus"
"meerkat","Suricata suricatta"
"antelope","Hippotragus niger"
"capuchin","Cebus olivaceus"
"finch","Pyrrhula pyrrhula"
"robin","Erithacus rubecula"
"gazelle","Gazella dorcas"
"koala","Phascolarctos cinereus"
"narwhal","Monodon monoceros"
"ladybug","Coccinella septempunctata"
"piranha","Pygocentrus nattereri"
"turkey vulture","Cathartes aura"
"chipmunk","Tamias striatus"
"tardigrade","Milnesium tardigradum"
"wolverine","Gulo gulo"
"sparrow","Passer domesticus"
"flea","Ctenocephalides canis"
"beaver","Castor canadensis"
"woodpecker","Dryocopus pileatus"
"anaconda","Eunectes murinus"
"macaw","Anodorhynchus hyacinthinus"
"parakeet","Aratinga nenday"
"poison frog","Oophaga histrionica"
"bald eagle","Haliaeetus leucocephalus"
"kite","Milvus migrans"
"weasel","Mustela frenata"
"barn owl","Tyto alba"
"kestrel","Falco sparverius"
"raven","Corvus corax"
"grey parrot","Psittacus erithacus"
"goblin shark","Mitsukurina owstoni"
"cricket","Gryllus campestris"
"mockingbird","Mimus polyglottos"
"komodo dragon","Varanus komodoensis"
"bobcat","Lynx rufus"
"gibbon","Nomascus leucogenys"
"atlas moth","Attacus atlas"
"tortoise","Chelonoidis niger"
"jackal","Canis aureus"
"barracuda","Sphyraena barracuda"
"river otter","Lontra canadensis"
"macaroni penguin","Eudyptes chrysolophus"
"anteater","Cyclopes didactylus"
"crow","Corvus brachyrhynchos"
"zebra","Equus quagga"
"water buffalo","Bubalus bubalis"
"chameleon","Chamaeleo chamaeleon"
"toucan","Ramphastos toco"
"skink","Tiliqua gigas"
"baboon","Papio papio"
"blue-ringed octopus","Hapalochlaena lunulata"
"krill","Euphausia pacifica"
"carpenter ant","Camponotus floridanus"
"seahorse","Hippocampus comes"
"barnacle","Balanus glandula"
"mantis shrimp","Odontodactylus scyllarus"
"green tree python","Morelia viridis"
"bumble bee","Bombus impatiens"
"dove","Leptotila verreauxi"
"box turtle","Terrapene carolina"
"clownfish","Amphiprion percula"
"canary","Crithagra flaviventris"
"dung beetle","Scarabaeus sacer"
"man o war","Physalia physalis"
"burmese python","Python bivittatus"
"caiman","Caiman latirostris"
"hammerhead shark","Sphyrna mokarran"
"sea sponge","Aplysina fistularis"
"betta fish","Betta tussyae"
"water bug","Lethocerus indicus"
"scorpion","Centruroides sculpturatus"
"brain coral","Diploria labyrinthiformis"
"flying squirrel","Hylopetes nigripes"
"giant squid","Architeuthis dux"
"tarantula","Theraphosa blondi"
"pigeon","Hemiphaga novaeseelandiae"
"giant octopus","Enteroctopus dofleini"
"millipede","Oxidus gracilis"
"gecko","Lygodactylus capensis"
"kiwi","Apteryx rowi"
"armadillo","Chaetophractus vellerosus"
"pufferfish","Arothron meleagris"
"snowy owl","Bubo scandiacus"
"nightingale","Luscinia megarhynchos"
"flamingo","Phoenicopterus roseus"
"arctic fox","Vulpes lagopus"
"fruit bat","Acerodon jubatus"
"sea cucumber","Actinopyga echinites"
"huntsman spider","Heteropoda maxima"
"hawk","Accipiter gundlachi"
"hermit crab","Dardanus calidus"
"hercules beetle","Dynastes hercules"
"sand dollar","Mellita quinquiesperforata"
"elk","Cervus canadensis"
"dragonfly","Aeshna canadensis"
"fiddler crab","Tubuca urvillei"
"mayfly","Rhithrogena germanica"
"manta ray","Mobula birostris"
"banana slug","Ariolimax columbianus"
"hummingbird","Mellisuga helenae"
"sting ray","Hypanus americanus"
